PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z
224,1536346007,-3.724021,-43.204647,76.765968,0.468226,-0.035384,-0.557743,9.735312,-62.237831,2.56906
225,1536362674,-3.608325,-44.227211,76.934578,0.504377,-0.028503,-0.675175,13.869007,-61.982773,3.534225
226,1536379341,-3.437398,-45.240376,77.0942,0.591408,-0.035888,-0.873278,16.941521,-61.375431,3.200263
227,1536396008,-3.165709,-46.191807,77.182419,0.705529,-0.164943,-1.098679,20.049314,-57.479259,0.531093
228,1536412675,-2.853435,-47.081402,77.238678,0.61809,-0.234226,-1.257557,21.165155,-53.698357,-0.383811
229,1536429342,-2.577818,-47.900764,77.27832,0.551764,-0.342759,-1.30733,18.280672,-49.459743,-0.639978
230,1536446009,-2.323442,-48.62302,77.309502,0.495258,-0.397023,-1.307513,16.665218,-43.632416,-0.541674
231,1536462676,-2.011319,-49.225651,77.318542,0.561387,-0.512473,-1.228523,19.156105,-36.440548,-0.962941
232,1536479343,-1.563883,-49.662041,77.217995,0.516699,-0.658593,-1.220119,22.302462,-26.357758,-4.707097
233,1536496010,-1.042068,-49.920891,77.055298,0.342014,-0.815693,-0.980479,23.914465,-15.713144,-6.640676
234,1536512677,-0.539136,-50.111614,76.917847,0.142853,-1.012399,-0.678473,23.933165,-11.730302,-5.459682
235,1536529344,-0.132997,-50.360161,76.880745,0.138874,-1.218748,-0.585309,22.751057,-15.305818,-1.520579
236,1536546011,0.127152,-50.691429,77.026093,0.285678,-1.193887,-0.585258,22.455242,-20.326368,5.524478
237,1536562678,0.197499,-51.144135,77.317474,0.637076,-1.159935,-0.771918,17.929098,-27.627602,11.066365
238,1536579345,0.130081,-51.70919,77.658836,1.016028,-0.987307,-1.038402,12.138043,-34.400776,12.812033
